# Generated from Radheef (radheef.siyamex.com) by scripts/build_thesaurus.py — do not edit by hand.
# format: word <TAB> synonym:corpus_count|synonym:count...
ހަސްފަތާލު	ޑަކުތަރުގެ:0
ހަސްތީ	ދުނިޔެ:91
ހަޑަހަގެ	ގެފިލި:0
ހަޑި	ކިފަޅު:0|ޚަރާބު:1
ހަޑިކަން	ކިފަޅުކަން:0
ހަޑިކުރުން	ހަޑިކޮށްލުން:0
ހަޑިކޭލެ	ފުސްކެޔޮ:1
ހަޑިކޮށްލުން	ހަޑިކުރުން:0
ހަޑިވުން	ޚަރާބުވުން:0
ހަޔާތް	ދިރިއުޅުން:121
ހަޔާތްކެނޑުން	ލަދުކެނޑުން:0
ހަޖަމުނުބައިވުން	ބަނޑުނުބައިވުން:0
ހަޖާމު	ހައްޖާމު:0
ހަޝިޝް	ހިކިވިނަ:0
ހާ	ހާކުރުން:0
ހާހަރަ	ހާހޫރަ:0
ހާހިތޯވު	ރެދަންފަނި:0
ހާހޫރަ	ހާހަރަ:0
ހާނބު	ބުމަރު:0
ހާނދީ	އެހެންތަ:2
ހާނދު	ހަނދި:65
ހާނިކަ	ހާނީއްކަ:1
ހާނިއްކަ	ސަމާސާ:11
ހާނީއްކަ	ހާނިކަ:0|އަނިޔާ:52
ހާނީއްކަވުން	އަނިޔާވުން:8
ހާރިހި	ހައުރިހި:0
ހާރު	ހައުރު:0
ހާޅަ	ހާޑު:0
ހާޅަލަ	ހައުޅަލަ:0
ހާޅާގޮއްޑޯ	ހާޑުހައް:0
ހާޅު	ހާޑު:0
ހާޅެޔާ	ހާޑު:0
ހާކާވުން	ތަސައްރަފުފުދުން:0
ހާކުރުން	ހާ:30|ފޭކުރުން:0
ހާކެރުން	ހުޅުވުން:130
ހާއެޅުން	ހާއެޑުން:0|ހެއިއެޑުން:0|ހޭއެޑުން:0
ހާއެޑުން	ހާއެޅުން:0
ހާއްދަފާއްދަ	އާޖުފާޖު:0
ހާވަށް	ގިންނޯށި:0
ހާވިޔާ	ހަތްނަރަކަ:0
ހާވިޔާވުން	ވިހާލިވުން:0|ވިއްސިވިހާލިވުން:0
ހާވުން	ހުޅުވުން:130
ހާމަ	ހަވާސާ:0|ހާސާ:1|ދިމާ:12
ހާމަކުރުން	ފާޅުކުރުން:3
ހާމަވުން	ފާޅުވުން:1|ދަންމަރުވުން:0
ހާމަސް	ކާމަސް:0|ކުދެމަހަ:0|ފެލިމަސް:0
ހާމުންޑި	ފިލަފެރެއިތާ:0|ފިލާފެރޭތަ:0
ހާފާ	ހިތްބަރު:0
ހާދަ	ހައުދު:0|ބޮޑަށް:484|އިތުރު:698
ހާދަހާވާ	ހައުދަހައިވާ:0
ހާދަރު	އަހަރެން:97
ހާދާރު	ހުދުފޭލި:0
ހާލަތު	ދަނޑިވަޅު:2
ހާލިބާލި	އޮޅުންބޮޅުން:2
ހާލީބޯނި	ބޯދި:39
ހާގުހުރު	ހާގޯށި:0
ހާގުހުރެ	ހާގޯށި:0
ހާގޮވުން	ހައުއެއްޑުން:0|ހައުލްގޮވުން:0|ހަވެލެގޮވުން:0
ހާގޯ	ހާގޯށި:0
ހާގޯށި	ހާގުހުރު:0|ހާގުހުރެ:0|ހާގޯ:0
ހާސާ	ހާމަ:16
ހާސިލުކުރުން	ފުއްދުން:3
ހާސިލުވުން	ފުދުން:0
ހާސް	ފައު:0|ސާސްތުރަ:4
ހާސްވުން	ބޯގޮވުން:0
ހާސްފައި	ކުނބުރޮށިފަނި:0|މާރުއްޕަނި:0|މާފައްގޯނި:0|މާފާފަނި:0
ހާޑު	ހާޅަ:0|ހާޅު:0|ހާޅެޔާ:0
ހާޑުހައް	ހާޅާގޮއްޑޯ:0|ހާޑުކައްޕި:0
ހާޑުކައްޕި	ހާޑުހައް:0
ހާޒިރުވުން	އައުން:53
ހާޖަރު	ބައިވަރު:20
ހާޖަތް	ހާޖިތް:0
ހާޖިތް	ހާޖަތް:1
ހިށިހެއި	ހުރިހާ:524
ހިށު	ހުރޭ:11
ހިށުން	ހުރުން:148
ހިށުވައި	ދަރަނި:13
ހިނބުޅެ	މާބުރު:0
ހިނބޮށި	ހިބޮށި:0
ހިނދިކެޑައް	ހިނދުކޮޅެއް:2
ހިނދިވަޅު	ހިނދިވަޅޮ:0|ހެނދި:0|މަރުވަޅު:0
ހިނދިވަޅޮ	ހިނދިވަޅު:0
ހިނދު	ހިދެ:0|ކޯ:38
ހިނދުރި	ހިދުރި:1
ހިނދުކޮޅެއް	ހިނދިކެޑައް:0
ހިނގަހަލި	ހިނގަހެލި:0|ހެނގާލި:0
ހިނގަހެލި	ހިނގަހަލި:0
ހިނގަމަހަ	އަލަނާސިމަސް:0
ހިނގަމަސް	ހިޅުމަސް:0
ހިނގުން	ހުރެފެން:0|ކެރޭނި:0|ފައިއެޅުން:0
ހިނަ	ހިނި:14
ހިނަހެރަ	ހިނިހަރު:0
ހިނައިގަތުން	ފެންވެރުން:8
ހިނި	ހިނަ:1|ހިންޏަ:0
ހިނިހަރު	ހިނަހެރަ:0|ހިނިހޮރު:0
ހިނިހޮރު	ހިނިހަރު:0
ހިނިއައުން	ހެވުން:0
ހިނުން	ގައުރު:0
ހިނެއިން	ހިނެއުން:0
ހިނެއުން	ހިނެއިން:0
ހިން	އުނަގަނޑު:18
ހިންހަރައިލުން	ހިންބާރުކޮށްލުން:0
ހިންބާރުކޮށްލުން	ހިންހަރައިލުން:0
ހިންކުރަވާ	ލޯކުރި:0
ހިންކުރި	ލޯކުރި:0
ހިންމަވައިދެއްވުން	ފުއްދެވުން:0
ހިންމަތް	ހިއްމަތް:0
ހިންމަތްކުރުން	ހިއްމަތްކުރުން:0
ހިންފެލަ	ޅިނދުމަތި:0
ހިންފެލާ	ޅިނދުމަތި:0
ހިންފެލެޔާ	ޅިނދުމަތި:0
ހިންދަމައިލުން	ހިންދެމިލުން:0
ހިންދުކަރަ	ހިންދުސްތާން:53
ހިންދުސްތާން	ހިންދުކަރަ:1
ހިންދޫރަ	ހިންދޯރި:0
ހިންދެމިލުން	ހިންދަމައިލުން:0
ހިންދޯރި	ހިންދޫރަ:0
ހިންތަ	ހިންތާ:0
ހިންތަހެދުން	ހިންތާހެދުން:0
ހިންތާ	ހިންތަ:0|ކެހި:2
ހިންތާހެދުން	ހިންތަހެދުން:0|ކެހިދިނުން:0|ޒީރުހެދުން:0
ހިންގަނޑަ	ކަނދުބުޑު:0
ހިންޏަ	ހިނި:14
ހިންޗި	ބުރާލު:0|އިންޗި:67
ހިރަފުސް	ހެރަފުހި:0|ހެރަފުހު:0|ހެރަފުސް:0
ހިރަގަނޑަ	ހިރުގަނޑު:28
ހިރާ	ނިޝާން:127
ހިރާނޑާ	ހިރުގަނޑު:28
ހިރި	ހިރު:0
ހިރިހަމައިދި	ހިރިހަމާންތި:0
ހިރިހަމާންތި	ހިރިހަމައިދި:0
ހިރިކަނދު	ދަށްބަނޑު:1
ހިރިކުއްޅަ	ހިރިފޫލަ:0|ކުނޑިވާޅަ:0|ކުޑިވާޅަ:0
ހިރިއާ	އަރިސް:6
ހިރިމަގުލެ	ހިރިމަގޫ:0
ހިރިމަގޫ	ހިރިމަގުލެ:0
ހިރިމި	ހެރެމި:0
ހިރިފަތި	އިސް:235
ހިރިފާޅަ	ތިރިފާޅަ:0
ހިރިފިނޮޅި	ހުނިގޮނޑިފިލާ:0
